Français,Japonais,Romaji,Kana,Origine,Leçons,Type,Theme,Image,Sound
sac,かばん,kaban,HIRAGANA,,3,nom,quotidien,https://drive.google.com/open?id=0B4zoyKhJnnjuZGw0RHZMcGkwYVU,https://drive.google.com/open?id=0B4zoyKhJnnjueGFESXdtaDBUNGM
journal,しんぶん,shinbun,HIRAGANA,,3,nom,mondialisation,https://drive.google.com/open?id=0B4zoyKhJnnjuckgxN2U1R3dIcm8,https://drive.google.com/open?id=0B4zoyKhJnnjuRGhyMHVrQzNKV28
japonais,にほん じん,nihon jin,HIRAGANA,,3,nom,pays,https://drive.google.com/open?id=0B4zoyKhJnnjuSS1CSENnbTEtUGs,https://drive.google.com/open?id=0B4zoyKhJnnjuMWh6OER6ak9vZTQ
cerisier,さくら,sakura,HIRAGANA,,3,nom,plante,https://drive.google.com/open?id=0B4zoyKhJnnjuVmJIdHlfZXR3U28,https://drive.google.com/open?id=0B4zoyKhJnnjubVpuZk03enpnb28
carte,ちず,chizu,HIRAGANA,,3,nom,géographie,https://drive.google.com/open?id=0B4zoyKhJnnjuZEIyWkhzSkZNVHc,https://drive.google.com/open?id=0B4zoyKhJnnjucm93S3pvbkQ3X28
géographie,ちり,chiri,HIRAGANA,,3,nom,géographie,https://drive.google.com/open?id=0B4zoyKhJnnjucG1oV1hIc0p3RTA,https://drive.google.com/open?id=0B4zoyKhJnnjuTDlwMkZkMzNQcTA
climat,きこう,kikô,HIRAGANA,,3,nom,nature,https://drive.google.com/open?id=0B4zoyKhJnnjuaE85dTNrOWRuS1k,https://drive.google.com/open?id=0B4zoyKhJnnjuRFVsdXZpWVJoVUU
volcan,かざん,kazan,HIRAGANA,,3,nom,nature,https://drive.google.com/open?id=0B4zoyKhJnnjuZ2dDdjhBWXdadUE,https://drive.google.com/open?id=0B4zoyKhJnnjucTg1eFk3LXl0cnc
tremblements de terre,じしん,jishin,HIRAGANA,,3,nom,nature,https://drive.google.com/open?id=0B4zoyKhJnnjuZDlnWkVnemNGQzA,https://drive.google.com/open?id=0B4zoyKhJnnjuZERnaVRlVkFhaXc
saison des pluies,つゆ,tsuyu,HIRAGANA,,3,nom,nature,https://drive.google.com/open?id=0B4zoyKhJnnjuTmQ4R1Z0RUozWGc,https://drive.google.com/open?id=0B4zoyKhJnnjuVXN2T3Z3UVFFSlE
typhons,たいふう,taifû,HIRAGANA,,3,nom,nature,https://drive.google.com/open?id=0B4zoyKhJnnjuX19YVnBtcjB4dGM,https://drive.google.com/open?id=0B4zoyKhJnnjuTWpTQ1NCMEEwU0U
chaussures,くつ,kutsu,HIRAGANA,,3,nom,vêtements,https://drive.google.com/open?id=0B4zoyKhJnnjueVVMbVdxenBUeWs,https://drive.google.com/open?id=0B4zoyKhJnnjuNFpKcDFNbEJ4Wms
chaussettes,くつした,kutsushita,HIRAGANA,,3,nom,vêtements,https://drive.google.com/open?id=0B4zoyKhJnnjuaEtXbVdudm5iTkE,https://drive.google.com/open?id=0B4zoyKhJnnjueUd5SGlrVlA0NTg
parapluie,かさ,kasa,HIRAGANA,,4,nom,,,
maison,"いえ,うち","ie,uchi",HIRAGANA,,4,nom,,,
bureau,つくえ,tsukue,HIRAGANA,,4,nom,,,
"chose, objet",もの,mono,HIRAGANA,,4,nom,,,
japon,にほん,nihon,HIRAGANA,,4,nom,,,
demain,あした,ashita,HIRAGANA,,4,,,,
matin,あさ,asa,HIRAGANA,,4,,,,
soir,よる,yoru,HIRAGANA,,4,,,,
ceci,これ,kore,HIRAGANA,,5,pronom,,,
cela,それ,sore,HIRAGANA,,5,pronom,,,
cela là-bas,あれ,are,HIRAGANA,,5,pronom,,,
poisson,さかな,sakana,HIRAGANA,,5,nom,,,
viande,にく,niku,HIRAGANA,,5,nom,,,
legume,やさい,yasai,HIRAGANA,,5,nom,,,
fruit,くだもの,kudamono,HIRAGANA,,5,nom,,,
montagne,やま,yama,HIRAGANA,,5,nom,,,
mer,うみ,umi,HIRAGANA,,5,nom,,,
rivière,かわ,kawa,HIRAGANA,,5,nom,,,
ce…-ci,この,kono,HIRAGANA,,6,pronom,,,
ce…-là,その,sono,HIRAGANA,,6,pronom,,,
gâteau,おかし,okashi,HIRAGANA,,6,nom,,,
thé,おちゃ,ocha,HIRAGANA,,6,nom,,,
jouet,おもちゃ,omocha,HIRAGANA,,6,nom,,,
lettre,てがみ,tegami,HIRAGANA,,6,nom,,,
ce…là-bas,あの,ano,HIRAGANA,,6,pronom,,,
chien,いぬ,inu,HIRAGANA,,6,nom,,,
chat,ねこ,neko,HIRAGANA,,6,nom,,,
oiseau,とり,tori,HIRAGANA,,6,nom,,,
cheval,うま,uma,HIRAGANA,,6,nom,,,
bœuf/vache,うし,ushi,HIRAGANA,,6,nom,,,
ami,ともだち,tomodachi,HIRAGANA,,6,nom,,,
entreprise,かいしゃ,kaisha,HIRAGANA,,6,nom,,,
collègue,どうりょう,dôryô,HIRAGANA,,6,nom,,,
non,いいえ,iie,HIRAGANA,,6,,,,
carte de vœux,ねんがじょう,nengajô,HIRAGANA,,6,nom,,,
rouge,あかい,akai,HIRAGANA,,7,adjectif,,,
bleu,あおい,aoi,HIRAGANA,,7,adjectif,,,
blanc,しろい,shiroi,HIRAGANA,,7,adjectif,,,
noir,くろい,kuroi,HIRAGANA,,7,adjectif,,,
rond,まるい,marui,HIRAGANA,,7,adjectif,,,
intéressant,おもしろい,omoshiroi,HIRAGANA,,7,adjectif,,,
vêtement,ふく,fuku,HIRAGANA,,7,nom,,,
chapeau,ぼうし,bôshi,HIRAGANA,,7,nom,,,
bon marché,やすい,yasui,HIRAGANA,,7,adjectif,,,
"cher, haut",たかい,takai,HIRAGANA,,7,adjectif,,,
bon,おいしい,oishii,HIRAGANA,,7,adjectif,,,
mauvais,まずい,mazui,HIRAGANA,,7,adjectif,,,
petit,ちいさい,chiisai,HIRAGANA,,7,adjectif,,,
pomme,りんご,ringo,HIRAGANA,,7,nom,,,
fraise,いちご,ichigo,HIRAGANA,,7,nom,,,
"de ce côté-ci, ici",こちら,kochira,HIRAGANA,,7,,,,
important,じゅうよう (な),jûyô (na),HIRAGANA,,8,adjectif,,,
célèbre,ゆうめい (な),yûmei (na),HIRAGANA,,8,adjectif,,,
simple,かんたん (な),kantan (na),HIRAGANA,,8,adjectif,,,
personne,ひと,hito,HIRAGANA,,8,nom,,,
travail,しごと,shigoto,HIRAGANA,,8,nom,,,
bâtiment,たてもの,tatemono,HIRAGANA,,8,nom,,,
calme,しずか (な),shizuka (na),HIRAGANA,,8,adjectif,,,
"beau,propre",きれい (な),kirei (na),HIRAGANA,,8,adjectif,,,
sérieux,まじめ (な),majime (na),HIRAGANA,,8,adjectif,,,
brave,yûかん (な),yûkan (na),HIRAGANA,,8,adjectif,,,
libre,じゆう (な),jiyû (na),HIRAGANA,,8,adjectif,,,
paisible,へいわ (な),heiwa (na),HIRAGANA,,8,adjectif,,,
ville,まち,machi,HIRAGANA,,8,nom,,,
pays,くに,kuni,HIRAGANA,,8,nom,,,
"endroit,lieu",ところ,tokoro,HIRAGANA,,8,nom,,,
"en bonne santé , en forme",げんき (な),genki (na),HIRAGANA,,8,,,,
merci,ありがとう,arigatô,HIRAGANA,,8,,,,
oui,はい,hai,HIRAGANA,,8,,,,
comment,いかが,ikaga,HIRAGANA,,8,,,,
épouse (interlocuteur),おくさん,okusan,HIRAGANA,,8,nom,,,
épouse (locuteur),かない,kanai,HIRAGANA,,8,nom,,,
"rapide, tôt",はやい,hayai,HIRAGANA,,9,adjectif,,,
"lent, tardif",おそい,osoi,HIRAGANA,,9,adjectif,,,
large,ひろい,hiroi,HIRAGANA,,9,adjectif,,,
étroit,せまい,semai,HIRAGANA,,9,adjectif,,,
"pratique, commode",べんり (な),benri (na),HIRAGANA,,9,adjectif,,,
incommode,ふべん (な),fuben (na),HIRAGANA,,9,adjectif,,,
moyen de transport,のりもの,norimono,HIRAGANA,,9,nom,,,
avion,ひこうき,hikôki,HIRAGANA,,9,nom,,,
train électrique,でんしゃ,densha,HIRAGANA,,9,nom,,,
"chemin, rue",みち,michi,HIRAGANA,,9,nom,,,
difficile,むずかしい,muzukashii,HIRAGANA,,9,adjectif,,,
facile,やさしい,yasashii,HIRAGANA,,9,adjectif,,,
sans interêt,つまらない,tsumaranai,HIRAGANA,,9,adjectif,,,
compliqué,ふくざつ (な),fukuzatsu (na),HIRAGANA,,9,adjectif,,,
ennuyeux,たいくつ (な),taikutsu (na),HIRAGANA,,9,adjectif,,,
dangereux,きけん (な),kiken (na),HIRAGANA,,9,adjectif,,,
banal,へいぼん (な),heibon (na),HIRAGANA,,9,adjectif,,,
problème,もんだい,mondai,HIRAGANA,,9,nom,,,
histoire (anecdote),はなし,hanashi,HIRAGANA,,9,nom,,,
maladie,びょうき,byôki,HIRAGANA,,9,nom,,,
cause,げにん,gen'in,HIRAGANA,,9,nom,,,
quel,なん,nan,HIRAGANA,,9,,,,
fatigue,つかれ,tsukare,HIRAGANA,,9,nom,,,
rhume,かぜ,kaze,HIRAGANA,,9,nom,,,
"ça va, pas de souci",だいjôぶ,daijôbu,HIRAGANA,,9,,,,
déjà,もう,mô,HIRAGANA,,9,,,,
"assez, pas mal",だいぶ,daibu,HIRAGANA,,9,,,,
"bon , bien",いい,ii,HIRAGANA,,9,,,,
maintenant,これ から,kore kara,HIRAGANA,,9,,,,
hôpital,びょういん,byôin,HIRAGANA,,9,nom,,,
"c'est ça, c'est juste",そう です,sô desu,HIRAGANA,,9,,,,
santé,けんこう,kenkô,HIRAGANA,,9,nom,,,
rendez-vous,よやく,yoyaku,HIRAGANA,,9,nom,,,
médicament,くすり,kusuri,HIRAGANA,,9,nom,,,
avoir mal à la tête,あたま が いたい,atama ga itai,HIRAGANA,,9,,,,
avoir mal à la gorge,のど が いたい,nodo ga itai,HIRAGANA,,9,,,,
avoir mal aux dents,は が いたい,ha ga itai,HIRAGANA,,9,,,,
avoir mal au ventre,おなか が いたい,onaka ga itai,HIRAGANA,,9,,,,
avoir mal aux pieds,あした が いたい,ashi ga itai,HIRAGANA,,9,,,,
avoir mal au coeur,きぶん が いたい,kibun ga itai,HIRAGANA,,9,,,,
avoir de la fièvre,ねつ が あります,netsu ga arimasu,HIRAGANA,,9,,,,
tousser,せき が でます,seki ga demasu,HIRAGANA,,9,,,,
aujourd'hui,きょうし,kyô,HIRAGANA,,10,,,,
appareil photo,カメラ,kamera,KATAKANA,Anglais : camera,11,nom,,,
lunettes,めがね,megane,HIRAGANA,,11,nom,,,
montre,うでどけい,udedokei,HIRAGANA,,11,nom,,,
être,です,desu,HIRAGANA,,11,,,,
"manteau,veste",コート,kôto,KATAKANA,Anglais : coat,11,nom,,,
cahier,ノート,nôto,KATAKANA,Anglais : note,11,nom,,,
obtention de travail,しゅうしょく,shûshoku,HIRAGANA,,11,nom,,,
félicitations,おめでとう,omedetô,HIRAGANA,,11,,,,
quand,いつ,itsu,HIRAGANA,,11,,,,
mois prochain,らいげつ,raigetsu,HIRAGANA,,11,nom,,,
d'abord,まず,mazu,HIRAGANA,,11,,,,
un mois,いっかげつ,ikkagetsu,HIRAGANA,,11,nom,,,
stage,けんしゅう,kenshû,HIRAGANA,,11,nom,,,
bientôt,もうすぐ,môsugu,HIRAGANA,,11,,,,
n'est ce pas,ね,ne,HIRAGANA,,11,,,,
un peu,ちょっと,chotto,HIRAGANA,,11,,,,
